"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl impostos."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"Select Product...","Selecione o Produto..."
"Select type of option","Selecione o tipo de opção"
"Select type options required values rows.","Selecione os valores obrigatórios das linhas dos tipos de opção."
"Selected Product Types","Selecione os Tipos de Produto"
"Selected configuration is not available.","A configuração selecionada não está disponível."
"Send Count","Enviar Contagem"
"Set Ascending Direction","Setar Direção Crescente"
"Set Descending Direction","Setar Direção Decrescente"
"Set Name","Setar Nome"
"Set Root Category for Store","Setar Categoria Raiz da Loja"
"Set root category for this store in the <a href=""%s"">configuration</a>","Sete a categoria raiz dessa loja indo nas <a href=""%s"">configurações</a>"
"Set special price","Setar preço especial"
"Set/Get current store view","Setar/Trazer a view atual da loja"
"Settings","Configurações"
"Shop By","Navegar Por"
"Shopping Options","Opções de Navegação"
"Show","Mostrar"
"Show Details","Mostrar Detalhes"
"Show Tags","Mostar Tags"
"Simple Product","Produto Simples"
"Site Map","Mapa do Site"
"Sitemap","Sitemap"
"Skip import row, required field ""%s"" for the new customer is not defined.","Linha de importação ignorada, o campo obrigatório ""%s"" para novos clientes não estava setado."
"Skipping import row, required field ""%s"" is not defined.","Linha de importação ignorada, o campo obrigatório ""%s"" não estava setado."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Linha de importação ignorada, o valor ""%s"" não é valido para o campo ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Alguns dos produtos processados não possuem um valor de SKU definido. Favor preencher esses valores antes de continuar."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Alguns dos produtos abaixo não estão com todas as suas opções obrigatórias preenchidas. Edite-os e preencha todos os dados necessários."
"Sort By","Ordernar Por"
"Sort Order","Ordem de Classificação"
"Source Model","Source Model"
"Special Expires On: %s","Preço Especial Até: %s"
"Special Price:","Preço Especial:"
"Special Price: %s","Preço Especial: %s"
"Starting at:","A partir de:"
"Static","Estático"
"Static block and products","Produtos e blocos estáticos"
"Static block only","Apenas blocos estáticos"
"Status","Status"
"Stock Availability","Disponibilidade"
"Store","Loja"
"Store View","View da Loja"
"Stretch","Esticar"
"Subscribe to RSS Feed","Assinar o Feed RSS"
"Super product attributes configuration","Configuração de atributos do 'super produto'"
"Synonym For","Sinônimo Para"
"System Properties","Propriedades de Sistema"
"Tag Name","Nome da Tag"
"Tax","Impostos"
"Template","Template"
"Text","Texto"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","O Catálogo do tipo Flat possui um limite de no máximo %2\$d atributos filtráveis/ordenáveis, porém no momento existem %1\$d desses atributos. Para usar essa funcionalidade, você deve reduzir o número de atributos desse tipo"
"The attribute model is not defined","O model do atributo não está definido"
"The attribute set has been saved.","Grupo do atributo salvo com sucesso."
"The base directory to upload file is not specified.","O diretório base de upload não está definido."
"The category has been deleted.","A categoria foi deletada com sucesso."
"The category has been saved.","A categoria foi salva com sucesso."
"The comparison list was cleared.","A lista de comparação foi limpa com sucesso."
"The file you uploaded is larger than %s Megabytes allowed by server","O arquivo enviado é maior que o tamanho permitido de %s Megabytes"
"The filters must be an array.","Os filtros devem ser um array."
"The image contents is not valid base64 data.","O conteúdo da imagem não é um dado base64 válido."
"The image is not specified.","A imagem não foi especificada."
"The model collection resource name is not defined.","O resource name da coleção do model não foi especificado."
"The product %s has been added to comparison list.","O produto %s foi adicionado com sucesso a lista de comparação."
"The product %s has been removed from comparison list.","O produto %s foi removido com sucesso a lista de comparação."
"The product attribute has been deleted.","O atributo do produto foi deletado com sucesso."
"The product attribute has been saved.","O atributo do produto foi salvo com sucesso."
"The product has been created.","Produto criado com sucesso."
"The product has been deleted.","Produto deletado com sucesso."
"The product has been duplicated.","Produto duplicado com sucesso."
"The product has been saved.","Produto salvo com sucesso."
"The product has required options","Esse produto possui opções obrigatórias"
"The review has been deleted","O review foi deletado com sucesso"
"The review has been saved.","O review foi salvo com sucesso"
"The review was removed by another user or does not exist.","Esse review foi removido por outro usuário ou não existe."
"The search was deleted.","A buscda foi deletada com sucesso."
"The text is too long","Texto muito longo"
"There are no %s available.","%s não disponível."
"There are no customers for this alert","Não existem clientes usando esse alerta"
"There are no customers for this alert.","Não existem clientes usando esse alerta."
"There are no products matching the selection.","Nenhum produto correspondente a sua seleção."
"There was an error while request processing.","Ocorreu um erro durante o processamento de sua solicitação."
"This Attribute no longer exists","Esse Atributo não existe mais"
"This attribute cannot be deleted.","Esse atributo não pode ser deletado."
"This attribute cannot be edited.","Esse atributo não pode ser editado."
"This attribute cannot be updated.","Esse atributo não pode ser atualizado."
"This attribute is used in configurable products.","Esse atributo é usado dentro de produtos configuráveis."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Esse atributo é usado dentro de produtos configuráveis. Você não pode remove-lo desse grupo."
"This attribute no longer exists","Esse atributo não existe mais"
"This attribute set no longer exists.","Esse grupo de atributo não existe mais."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Esse grupo possui atributos usados dentro de produtos configuráveis. Mova esses atributos para outro grupo e tente novamente."
"This group contains system attributes. Please move system attributes to another group and try again.","Esse grupo possui atributos de sistema. Mova esses atributos para outro grupo e tente novamente."
"This is a required option","Essa opção é obrigatoria"
"This product no longer exists.","Esse produto não existe mais."
"This search no longer exists.","Essa pesquisa não existe mais."
"Tier Pricing","Faixas de Preço"
"Tile","Tile"
"Time Format","Formato da Hora"
"Title","Título"
"To reindex the enabled product(s), the store or product must be specified","Para reindexar os produtos ativos, a loja ou os produtos devem ser especificados"
"To see product price, add this item to your cart. You can always remove it later.","Para ver o preço desse produto, adicione-o ao seu carrinho. Você poderá remove-lo depois se desejar."
"Top/Left","Topo/Esquerda"
"Top/Right","Topo/Direta"
"Total Qty Base Items","Qtd Total de Itens Base"
"Total incl. Tax: %1$s","Total incl. Impostos: %1$s"
"Total of %d record(s) have been deleted.","Um total de %d registros(s) foi deletado com sucesso."
"Total of %d record(s) have been updated.","Um total de %d registros(s) foi atualizado com sucesso."
"Type","Tipo"
"URL Rewrite Management","Gerenciamento de Rewrite de URL"
"Unable to complete this request.","Impossível concluir essa solicitação."
"Unable to find a search term to delete.","Impossível encontrar um termo de pesquisa para deletar."
"Unable to find an attribute to delete.","Impossível encontrar um atributo para deletar."
"Unable to get the product ID.","Impossível recuperar o ID do produto."
"Unassigned Attributes","Atributos não Atribuídos"
"Unknown EAV indexer type ""%s"".","Tipo de indexador EAV desconhecido ""%s""."
"Unknown attribute: %s.","Atributo desconhecido: %s."
"Unsupported product type ""%s"".","Tipo de produto não suportado ""%s""."
"Up-sells","Up-sells"
"Update","Atualizar"
"Update Attributes","Atualizar Atributos"
"Update Tier Price","Atualizar Faixas de Preços"
"Update assigned product","Atualizar produto atribuído"
"Update attributes","Atualizar atributos"
"Update category","Atualizar categoria"
"Update product","Atualizar produto"
"Update product image","Atualizar imagem do produto"
"Update product link","atualizar links do produto"
"Update product tier prices","Atualizar faixas de preços do produto"
"Upload new product image ","Enviar nova imagem de produto "
"Url Rewrite Management","Gerenciamento de Rewrite de Url"
"Use Canonical Link Meta Tag For Categories","Usar a Meta Tag Canonical Link nas Categorias"
"Use Canonical Link Meta Tag For Products","Usar a Meta Tag Canonical Link nos Produtos"
"Use Categories Path for Product URLs","Usar o caminho das Categorias ao criar a URL dos produtos"
"Use Config Settings","Usar as Definições de Configuração"
"Use Default Value","Usar o Valor Padrão"
"Use Flat Catalog Category","Usar Categorias Flat"
"Use Flat Catalog Product","Usar Produtos Flat"
"Use In Layered Navigation","Usar na Navegação por Camadas"
"Use In Search Results Layered Navigation","Usar na Navegação por Camadas dentro de Resultados de Pesquisa"
"Use JavaScript Calendar","Usar Calendário em JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Usar URLs Estáticas para Conteúdos de Midia no editor WYSIWYG do Catálogo"
"Use To Create Configurable Product","Usar ao Criar um Produto Configurável"
"Use Tree Like Category Sitemap","Usar Sitemap de Categorias no Format 'árvore'"
"Use config","Usar Configurações"
"Use default","Usar padrão"
"Use for Promo Rule Conditions","Usar para Regras de Promoções"
"Use four-digit year format.","Usar formato de ano de quatro dígitos."
"Use in Advanced Search","Usar na Busca Avançada"
"Use in Layered Navigation","Usar na Navegação por Camadas"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usar na Navegação por Camadas<br/>(Apenas para tipo 'Dropdown')"
"Use in Quick Search","Usar na Busca Rápida"
"Used for Sorting in Product Listing","Usar como Critério de Ordenação na Listagem de Produtos"
"Used in Product Listing","Usado na Listagem de Produtos"
"Value for ""%s"" is invalid.","O valor para o item ""%s"" é inválido."
"Value for ""%s"" is invalid: %s","O valor para o item ""%s"" é inválido: %s"
"Varchar","Varchar"
"View as","Ver Como"
"Virtual Product","Produto Virtual"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visível nas Páginas do Catálogo no Frontend"
"Visible on Product View Page on Front-end","Visíviel na Página do Produto no Frontend"
"WYSIWYG Editor","Editor WYSIWYG"
"Watermark","Marcas d'água"
"Watermark Default Size","Tamanho Pãdrão da Marca d'água"
"Watermark Opacity, Percent","Opacidade da Marca d'água, Em Porcento"
"Watermark Position","Posição da Marca d'água"
"We Also Recommend","Recomendamos Também"
"Website","Website"
"Websites","Websites"
"What's this?","O que é isso?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Dita se a opção ""Todos"" no dropdown ""Mostrar X por Página"" deve ou não ser mostrada."
"Wrong BuyRequest instance in options group.","Instância BuyRequest inválida no grupo de opções."
"Wrong configuration item instance in options group.","Instância de item de configuração inválida no grupo de opções."
"Wrong configuration item option instance in options group.","Instância de opção de item de configuração inválida no grupo de opções."
"Wrong option instance type in options group.","Tipo de instância de opção inválida no grupo de opções."
"Wrong option type to get group instance.","Tipo de opção inválida no grupo de opções."
"Wrong product instance type in options group.","Tipo de instância de produto inválida no grupo de opções."
"Wrong product type filter specified","Tipo de filtro de produto inválido"
"Wrong product type to extract configurable options.","Tipo de produto inválido para extrair as opções de configuração."
"Year Range","Faixa de Ano"
"Yes","Sim"
"You cannot remove system attribute from this set.","Você não pode remover atributos de sistema desse grupo."
"You have no items to compare.","Nenhum item selecionado para realizar uma comparação."
"You may also be interested in the following product(s)","Você também pode gostar dos seguintes produtos"
"Zoom In","Zoom In"
"Zoom Out","Zoom Out"
"[GLOBAL]","[GLOBAL]"
"and","e"
"categories","categorias"
"each","cada"
"ex. http://domain.com","ex. http://domain.com"
"leave blank if its not an image","deixe vazio se não for uma imagem"
"per page","por página"
"products","produtos"
"px.","px."
"save","salvar"
"select all","selecionar todos"
"unselect all","deselecionar todos"
"x","x"
