"-OR-","-OU-"
"Website Payments Standard Settings","Configurações do Website Payments Standard"
"What is PayPal?","O que é PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Se um contrato de compra deverá ou não ser criado caso não haja nenhum contrato de compra disponível."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Será exibido como opção de pagamento apenas para clientes que tenham pelo menos um contrato de compra ativo."
"WorldLink Withdrawal","Retirada WorldLink"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Você gostaria de assinar um contrato de compra para facilitar compras posteriores usando o PayPal?"
"Wrong PayPal Express Checkout Token specified.","Token de Checkout Expresso PayPal específicado inválido."
"Yes","Sim"
"Yes. Matched Address and five-didgit ZIP","Sim. Correspondência de endereço e do CEP de cínco dígitos"
"You will be redirected to the PayPal website in a few seconds.","Você será redirecionado ao site da PayPal em alguns segundos."
"You will be redirected to the PayPal website when you place an order.","Você será redirecionado ao site da PayPal quando você finalizar o sue pedido."
"You will be redirected to the PayPal website.","Você será redirecionado ao site da PayPal."
"You will be required to enter your payment details after you place an order.","Você terá que digitar os seus dados de pagamento depois de finalizar o seu pedido."
"eBay Auction Payment","Pagamento para um Leilão do eBay"
